case_id,category,problem,expected_answer_kind,expected_answer,raw_response,extracted_code,extraction_status,syntax_status,policy_status,execution_status,stdout,observable_status,parsed_answer,score_error,normalized_actual,automated_correct,failure_reason,manual_reviewed,manual_correct,manual_classification,manual_note
confirm-linear-01,linear_equations,Determine every real x satisfying 3*(2*x - 5) + 4 = 5*x + 12.,finite_set,"[""23""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
equation = Eq(3*(2*x - (5)) + (4), 5*x + (12), evaluate=False)
result = solveset(equation, x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
equation = Eq(3*(2*x - (5)) + (4), 5*x + (12), evaluate=False)
result = solveset(equation, x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {23}
",observable,{23},,{23},True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-linear-02,linear_equations,Find all real solutions of (3*x + 5)/7 - (x - 4)/3 = 2.,finite_set,"[""-1/2""]","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
equation = Eq(Rational(1, 7)*(3*x + (5)) - Rational(1, 3)*(x - (4)), 2)
result = solve(equation, x)
print(""ANSWER:"", result)","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
equation = Eq(Rational(1, 7)*(3*x + (5)) - Rational(1, 3)*(x - (4)), 2)
result = solve(equation, x)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: [-1/2]
",observable,[-1/2],,{-1/2},True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-linear-03,linear_equations,"Solve 4 - (5/6)*(x + 3) = -7/3 for real x, treating the fractions exactly.",finite_set,"[""23/5""]","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq(4 - (5/6)*(x + (3)), Rational(-7, 3)), x)
print(""ANSWER:"", result)","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq(4 - (5/6)*(x + (3)), Rational(-7, 3)), x)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: [4.60000000000000]
",observable,[4.60000000000000],incorrect_answer,{4.6},False,scoring_error:incorrect_answer,True,True,scorer_false_negative,The printed decimal 4.60000000000000 is exactly 23/5.
confirm-linear-04,linear_equations,"Over the reals, determine x from (7/4)*x + 5/6 = -11/3 using exact rational arithmetic.",finite_set,"[""-18/7""]","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq((7/4)*x + (5/6), Rational(-11, 3)), x)
print(""ANSWER:"", result)","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq((7/4)*x + (5/6), Rational(-11, 3)), x)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: [-2.57142857142857]
",observable,[-2.57142857142857],incorrect_answer,{-2.57142857142857},False,scoring_error:incorrect_answer,True,True,scorer_false_negative,The printed decimal is the displayed floating-point approximation of -18/7.
confirm-linear-05,linear_equations,List the real solutions of 2*(3*x - 5) - 4*(x + 1) = 18.,finite_set,"[""16""]","from sympy import Eq, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq(2*(3*x - (5)) - (4*(x + (1))), 18), x)
print(""ANSWER:"", result)","from sympy import Eq, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq(2*(3*x - (5)) - (4*(x + (1))), 18), x)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: [16]
",observable,[16],,{16},True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-linear-06,linear_equations,"For real x, solve the proportion (x + 2)/5 = (2*x - 7)/3 exactly.",finite_set,"[""41/7""]","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq((x + 2)/5, Rational(2*x - 7, 3)), x)
print(""ANSWER:"", result)","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq((x + 2)/5, Rational(2*x - 7, 3)), x)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,nonzero_exit,,not_reached,,,,False,execution_error:nonzero_exit,True,False,execution_failure,"Rational was called with a symbolic numerator, causing a TypeError before output."
confirm-linear-07,linear_equations,Find every real x such that 9 - 2*(x - 6) = 3*(x + 1).,finite_set,"[""18/5""]","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
equation = Eq(9 - 2*(x - 6), 3*(x + 1), evaluate=False)
result = solveset(equation, x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
equation = Eq(9 - 2*(x - 6), 3*(x + 1), evaluate=False)
result = solveset(equation, x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: {18/5}
",observable,{18/5},,{18/5},True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-linear-08,linear_equations,Determine the real solution of 5*(x/2 - 3) = 2*(x + 4).,finite_set,"[""46""]","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq(5*(x/2 - 3), 2*(x + 4)), x)
print(""ANSWER:"", result)","from sympy import Eq, Rational, symbols, solve

x = symbols(""x"", real=True)
result = solve(Eq(5*(x/2 - 3), 2*(x + 4)), x)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: [46]
",observable,[46],,{46},True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-linear-09,linear_equations,Find the real solution set of 3*(2*x + 5) = 6*x + 11.,finite_set,[],"from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
equation = Eq(3*(2*x + (5)), 6*x + (11), evaluate=False)
result = solveset(equation, x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
equation = Eq(3*(2*x + (5)), 6*x + (11), evaluate=False)
result = solveset(equation, x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: EmptySet
",observable,EmptySet,,EmptySet,True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
confirm-linear-10,linear_equations,Describe all real x satisfying 4*(x - 3) + 7 = 4*x - 5.,interval_set,"""Interval(-oo, oo)""","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
equation = Eq(4*(x - 3) + (7), 4*x - 5, evaluate=False)
result = solveset(equation, x, domain=S.Reals)
print(""ANSWER:"", result)","from sympy import Eq, S, solveset, symbols

x = symbols(""x"", real=True)
equation = Eq(4*(x - 3) + (7), 4*x - 5, evaluate=False)
result = solveset(equation, x, domain=S.Reals)
print(""ANSWER:"", result)",accepted:raw_python,passed,passed,ok,"ANSWER: Reals
",observable,Reals,,"Interval(-oo, oo)",True,correct,True,True,confirmed_correct,Observable answer and generated program confirmed.
