case_id,category,base_correct,adapter_correct,base_failure_category,adapter_failure_category
confirm-linear-01,linear_equations,false,false,extraction_error:raw_python_invalid,scoring_error:incorrect_answer
confirm-linear-02,linear_equations,false,true,policy_rejection,correct
confirm-linear-03,linear_equations,false,false,scoring_error:incorrect_answer,scoring_error:incorrect_answer
confirm-linear-04,linear_equations,false,false,execution_error:nonzero_exit,scoring_error:incorrect_answer
confirm-linear-05,linear_equations,false,true,policy_rejection,correct
confirm-linear-06,linear_equations,false,true,execution_error:nonzero_exit,correct
confirm-linear-07,linear_equations,false,true,policy_rejection,correct
confirm-linear-08,linear_equations,true,true,correct,correct
confirm-linear-09,linear_equations,false,true,policy_rejection,correct
confirm-linear-10,linear_equations,false,false,extraction_error:raw_python_invalid,scoring_error:malformed_answer
confirm-quadratic-01,quadratic_equations,false,true,policy_rejection,correct
confirm-quadratic-02,quadratic_equations,false,true,extraction_error:raw_python_invalid,correct
confirm-quadratic-03,quadratic_equations,false,true,extraction_error:raw_python_invalid,correct
confirm-quadratic-04,quadratic_equations,false,true,policy_rejection,correct
confirm-quadratic-05,quadratic_equations,false,true,policy_rejection,correct
confirm-quadratic-06,quadratic_equations,false,false,policy_rejection,scoring_error:incorrect_answer
confirm-quadratic-07,quadratic_equations,false,true,policy_rejection,correct
confirm-quadratic-08,quadratic_equations,true,true,correct,correct
confirm-quadratic-09,quadratic_equations,false,false,policy_rejection,scoring_error:incorrect_answer
confirm-quadratic-10,quadratic_equations,false,false,policy_rejection,policy_rejection
confirm-system-01,systems_of_equations,true,true,correct,correct
confirm-system-02,systems_of_equations,false,true,scoring_error:incorrect_answer,correct
confirm-system-03,systems_of_equations,true,true,correct,correct
confirm-system-04,systems_of_equations,false,true,scoring_error:incorrect_answer,correct
confirm-system-05,systems_of_equations,false,true,scoring_error:incorrect_answer,correct
confirm-system-06,systems_of_equations,false,false,scoring_error:malformed_answer,scoring_error:malformed_answer
confirm-system-07,systems_of_equations,false,false,scoring_error:malformed_answer,scoring_error:malformed_answer
confirm-system-08,systems_of_equations,true,false,correct,policy_rejection
confirm-system-09,systems_of_equations,true,true,correct,correct
confirm-system-10,systems_of_equations,false,false,scoring_error:incorrect_answer,scoring_error:incorrect_answer
confirm-polynomial-01,polynomial_roots_or_factorization,false,true,policy_rejection,correct
confirm-polynomial-02,polynomial_roots_or_factorization,false,true,extraction_error:raw_python_invalid,correct
confirm-polynomial-03,polynomial_roots_or_factorization,false,true,extraction_error:raw_python_invalid,correct
confirm-polynomial-04,polynomial_roots_or_factorization,false,true,policy_rejection,correct
confirm-polynomial-05,polynomial_roots_or_factorization,false,true,extraction_error:raw_python_invalid,correct
confirm-polynomial-06,polynomial_roots_or_factorization,false,false,policy_rejection,extraction_error:raw_python_invalid
confirm-polynomial-07,polynomial_roots_or_factorization,true,false,correct,extraction_error:raw_python_invalid
confirm-polynomial-08,polynomial_roots_or_factorization,false,false,extraction_error:raw_python_invalid,extraction_error:raw_python_invalid
confirm-polynomial-09,polynomial_roots_or_factorization,false,false,policy_rejection,stdout_error:no_output
confirm-polynomial-10,polynomial_roots_or_factorization,false,false,extraction_error:raw_python_invalid,extraction_error:raw_python_invalid
confirm-rational-01,rational_equations,false,false,scoring_error:incorrect_answer,scoring_error:incorrect_answer
confirm-rational-02,rational_equations,true,true,correct,correct
confirm-rational-03,rational_equations,false,false,scoring_error:malformed_answer,scoring_error:malformed_answer
confirm-rational-04,rational_equations,true,true,correct,correct
confirm-rational-05,rational_equations,true,true,correct,correct
confirm-rational-06,rational_equations,true,true,correct,correct
confirm-rational-07,rational_equations,false,true,scoring_error:incorrect_answer,correct
confirm-rational-08,rational_equations,false,true,policy_rejection,correct
confirm-rational-09,rational_equations,true,true,correct,correct
confirm-rational-10,rational_equations,false,true,extraction_error:raw_python_invalid,correct
confirm-inequality-01,inequalities,true,true,correct,correct
confirm-inequality-02,inequalities,false,false,policy_rejection,extraction_error:raw_python_invalid
confirm-inequality-03,inequalities,false,false,policy_rejection,extraction_error:raw_python_invalid
confirm-inequality-04,inequalities,false,false,policy_rejection,scoring_error:malformed_answer
confirm-inequality-05,inequalities,false,true,policy_rejection,correct
confirm-inequality-06,inequalities,false,false,extraction_error:raw_python_invalid,scoring_error:malformed_answer
confirm-inequality-07,inequalities,false,false,scoring_error:incorrect_answer,scoring_error:incorrect_answer
confirm-inequality-08,inequalities,true,false,correct,scoring_error:incorrect_answer
confirm-inequality-09,inequalities,false,true,policy_rejection,correct
confirm-inequality-10,inequalities,false,false,scoring_error:malformed_answer,extraction_error:raw_python_invalid
confirm-simplify-01,simplification_or_evaluation,false,true,extraction_error:raw_python_invalid,correct
confirm-simplify-02,simplification_or_evaluation,false,false,scoring_error:incorrect_answer,extraction_error:direct_answer_not_program
confirm-simplify-03,simplification_or_evaluation,false,false,extraction_error:raw_python_invalid,extraction_error:direct_answer_not_program
confirm-simplify-04,simplification_or_evaluation,true,true,correct,correct
confirm-simplify-05,simplification_or_evaluation,false,false,extraction_error:raw_python_invalid,extraction_error:raw_python_invalid
